artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Bayside,Logged In,Ethan,M,1,Fischer,240.8224,free,"Hilton Head Island-Bluffton-Beaufort, SC",PUT,NextSong,1507557632284,5214,Boy,200,1513783345284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",254
"",Logged In,Ryleigh,F,3,Melendez,"",paid,"Dallas-Fort Worth-Arlington, TX",GET,Home,1503040317284,2080,"",200,1513783350284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",2081
Rihanna,Logged In,Luke,M,10,Hicks,267.49342,paid,"Tampa-St. Petersburg-Clearwater, FL",PUT,NextSong,1507834265284,1398,Don't Stop The Music,200,1513783356284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1399
"",Logged In,Gracelyn,F,0,Adkins,"",free,"Dallas-Fort Worth-Arlington, TX",GET,Home,1505801470284,6073,"",200,1513783360284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,1854
Scarlett Johansson,Logged In,Ryleigh,F,4,Melendez,213.15873,paid,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1503040317284,2080,Green Grass,200,1513783360284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",2081
Metallica,Logged In,Anthony,M,1,Booker,466.54649,free,"Weirton-Steubenville, WV-OH",PUT,NextSong,1513615785284,1269,The Unforgiven III,200,1513783363284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1270
Puressence,Logged In,Matthew,M,2,Campbell,179.30404,paid,"Des Moines-West Des Moines, IA",PUT,NextSong,1511351741284,2631,This Feeling,200,1513783364284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2632
Efecto Mariposa,Logged In,Gracelyn,F,1,Adkins,254.37995,free,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1505801470284,6073,Por quererte,200,1513783366284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,1854
Cartola,Logged In,James,M,3,Lewis,208.92689,paid,"Boise City, ID",PUT,NextSong,1509081064284,6099,Sala De RecepÃÂ§ÃÂ£o,200,1513783379284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1267
"",Logged In,Presli,F,0,Davis,"",free,"Minneapolis-St. Paul-Bloomington, MN-WI",GET,Home,1504590561284,2292,"",200,1513783383284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2293
Nouvelle Vague feat. Martin Gore,Logged In,Caleb,M,5,Caldwell,199.20934,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1490476733284,5018,Master And Servant,200,1513783387284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1595
Carpenters,Logged In,Jaycob,M,3,Nelson,238.39302,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1510409386284,6434,Yesterday Once More,200,1513783395284,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,998
Matt Wertz,Logged In,Tyler,M,7,Morris,143.41179,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,6050,I Will Not Take My Love Away,200,1513783395284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
Jin,Logged In,Jocelyn,F,1,King,243.35628,paid,"Riverside-San Bernardino-Ontario, CA",PUT,NextSong,1511157640284,2001,The Good_ The Bad & The Ugly (Edited),200,1513783404284,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,2002
Bullet For My Valentine,Logged In,Carlisle,F,23,Long,236.32934,paid,"Trenton, NJ",PUT,NextSong,1504984277284,6198,Cries In Vain,200,1513783413284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2481
Hole,Logged In,Mariam,F,4,Richardson,177.68444,paid,"Hattiesburg, MS",PUT,NextSong,1504267801284,1723,Teenage Whore,200,1513783423284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",1724
Fergie,Logged In,Kaden,M,5,Gutierrez,201.06404,free,"Charleston-North Charleston, SC",PUT,NextSong,1508466348284,6404,Here I Come,200,1513783433284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1959
Koop,Logged In,Jack,M,15,Kelly,167.81016,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1492304380284,5341,Come To Me,200,1513783440284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1869
Calle 13 Featuring CafÃÂ© Tacuba,Logged In,Gillian,F,14,Gonzalez,293.32853,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1493059502284,5454,No Hay Nadie Como TÃÂº,200,1513783441284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",888
Amiina,Logged In,Damarco,M,24,Cooper,189.07383,paid,"Winston-Salem, NC",PUT,NextSong,1510023739284,6074,Hilli,200,1513783450284,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,1647
Simple Minds,Logged In,Calvin,M,3,Wright,401.78893,free,"Jackson, MS",PUT,NextSong,1503455052284,5699,Oh Jungleland,200,1513783465284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2361
Jimmy Eat World,Logged In,John,M,20,Reyes,284.3424,paid,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1507977118284,2301,Hear You Me,200,1513783467284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2302
"",Logged In,Daegan,M,29,Roberts,"",paid,"McAllen-Edinburg-Mission, TX",GET,Home,1513291220284,2159,"",200,1513783471284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,2160
Daft Punk,Logged In,Dreden,M,8,Rodriguez,199.94077,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,6095,Human After All,200,1513783472284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Kenny Wayne Shepherd,Logged In,Lea,F,1,Sheppard,330.60526,free,"Anchorage, AK",PUT,NextSong,1495663771284,2139,Blue On Black (Album Version),200,1513783476284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2140
Slim Dusty,Logged In,Gabriel,M,26,Murphy,198.922,paid,"Dayton, OH",PUT,NextSong,1513526225284,643,Long Black Road,200,1513783512284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",644
Jimmy Eat World,Logged In,Summer,F,3,Frank,273.162,free,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1487873677284,784,If You Don't_ Don't,200,1513783519284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",785
Richard Grey,Logged In,Tyler,M,8,Morris,397.34812,paid,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1509616156284,6050,Tainted Love (Warped Bass Mix),200,1513783538284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1950
Congorock feat. Mr. Lexx,Logged In,Daegan,M,30,Roberts,243.35628,paid,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1513291220284,2159,Babylon (feat. Mr. Lexx) [Original Mix],200,1513783542284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,2160
Horace Silver Quintet,Logged In,Matthew,M,3,Campbell,364.64281,paid,"Des Moines-West Des Moines, IA",PUT,NextSong,1511351741284,2631,The Outlaw (2007 Digital Remaster) (Rudy Van Gelder Edition),200,1513783543284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2632
Theory Of A Deadman,Logged In,Kade,M,35,Jones,205.63546,paid,"Key West, FL",PUT,NextSong,1508056774284,597,Bad Girlfriend [Explicit],200,1513783545284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,598
Bill Withers,Logged In,Colin,M,8,Simpson,383.73832,paid,"North Port-Sarasota-Bradenton, FL",PUT,NextSong,1487717495284,4690,Make Love To Your Mind,200,1513783551284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",621
Hey Monday,Logged In,Kain,M,5,Price,238.73261,paid,"Birmingham-Hoover, AL",PUT,NextSong,1511131936284,6380,Homecoming,200,1513783559284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",2612
O'Donel Levy,Logged In,Ryleigh,F,5,Melendez,389.58975,paid,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1503040317284,2080,Marbles,200,1513783573284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",2081
Nightmares On Wax,Logged In,Karleigh,F,1,Valenzuela,420.41424,paid,"Wisconsin Rapids-Marshfield, WI",PUT,NextSong,1489899558284,6263,Passion,200,1513783574284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2462
Incubus,Logged In,Ethan,M,2,Fischer,229.79873,free,"Hilton Head Island-Bluffton-Beaufort, SC",PUT,NextSong,1507557632284,5214,Oil And Water,200,1513783585284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",254
Florence + The Machine,Logged In,Tyanna,F,49,Jones,219.66322,paid,"Cedartown, GA",PUT,NextSong,1487337122284,2293,Dog Days Are Over (Radio Edit),200,1513783585284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2294
Reality Check,Logged In,Evelin,F,18,Benjamin,226.19383,paid,"Key West, FL",PUT,NextSong,1512655967284,236,Masquerade (Reality Check Album Version),200,1513783585284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",237
Carla Bruni,Logged In,Caleb,M,6,Caldwell,204.9824,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1490476733284,5018,Autumn (Album),200,1513783586284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1595
Days Of The New,Logged In,Ryan,M,4,Clark,353.27955,paid,"Deltona-Daytona Beach-Ormond Beach, FL",PUT,NextSong,1502729401284,5424,Provider,200,1513783587284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,66
David Guetta - Joachim Garraud - Chris Willis,Logged In,James,M,4,Lewis,353.48853,paid,"Boise City, ID",PUT,NextSong,1509081064284,6099,People come people go (EXtended remix),200,1513783587284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1267
Drowning Pool,Logged In,Jeffrey,M,29,Kramer,229.35465,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1513436777284,6082,Reason I'm Alive (Explicit),200,1513783598284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",761
Dwight Yoakam,Logged In,Mariam,F,5,Richardson,239.3073,paid,"Hattiesburg, MS",PUT,NextSong,1504267801284,1723,You're The One,200,1513783600284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",1724
Marcy Playground,Logged In,Jack,M,16,Kelly,179.22567,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1492304380284,5341,A Cloak Of Elvenkind,200,1513783607284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1869
Pixies,Logged In,Jaycob,M,4,Nelson,113.78893,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1510409386284,6434,Break My Body,200,1513783633284,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,998
Natiruts,Logged In,Kaden,M,6,Gutierrez,251.89832,free,"Charleston-North Charleston, SC",PUT,NextSong,1508466348284,6404,Misteriosa Atracao (Reggae Soul),200,1513783634284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1959
Angels and Airwaves,Logged In,Damarco,M,25,Cooper,302.05342,paid,"Winston-Salem, NC",PUT,NextSong,1510023739284,6074,The Gift,200,1513783639284,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,1647
Klezmer Conservatory Band,Logged In,Jocelyn,F,2,King,176.27383,paid,"Riverside-San Bernardino-Ontario, CA",PUT,NextSong,1511157640284,2001,Mazeltov Dances,200,1513783647284,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,2002
B.O.B.,Logged In,Carlisle,F,24,Long,245.62893,paid,"Trenton, NJ",PUT,NextSong,1504984277284,6198,Atlanta_ GA.,200,1513783649284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2481
Michael Bolton,Logged In,Enrique,M,75,Miller,255.65995,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5962,How Am I Supposed To Live Without You,200,1513783656284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Frederic Chopin,Logged In,Mason,M,37,Thomas,225.90649,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5909,Nocturne in C# minor,200,1513783658284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Ghostland Observatory,Logged In,Dreden,M,9,Rodriguez,518.05995,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1513620661284,6095,Midnight Voyage,200,1513783671284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1232
Secondhand Serenade,Logged In,Gabriel,M,27,Murphy,265.61261,paid,"Dayton, OH",PUT,NextSong,1513526225284,643,Like A Knife (Acoustic),200,1513783710284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",644
TÃÂ©lÃÂ©phone,Logged In,Gillian,F,15,Gonzalez,332.87791,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1493059502284,5454,Ne Me Regarde Pas / Regarde-Moi,200,1513783734284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",888
SAMULI PUTRO,Logged In,Jaycob,M,5,Nelson,146.18077,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1510409386284,6434,Uskon ettÃÂ¤,200,1513783746284,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,998
The Donnas,Logged In,Kade,M,36,Jones,162.01098,paid,"Key West, FL",PUT,NextSong,1508056774284,597,Take It Off (Album Version),200,1513783750284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,598
Reflex,Logged In,John,M,21,Reyes,360.25424,paid,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1507977118284,2301,Put Your Hands Up (Piano Funk Dub),200,1513783751284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2302
Fernanda Porto,Logged In,Karla,F,0,Garza,257.74975,free,"Kahului-Wailuku-Lahaina, HI",PUT,NextSong,1485573834284,4218,So Tinha De SEr Com Voce,200,1513783752284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2746
Machine Head,Logged In,Daegan,M,31,Roberts,251.01016,paid,"McAllen-Edinburg-Mission, TX",PUT,NextSong,1513291220284,2159,The Blood_ The Sweat_ The Tears (Album Version),200,1513783785284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,2160
Gerry Rafferty,Logged In,Jack,M,17,Kelly,347.16689,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1492304380284,5341,Waiting For The Day,200,1513783786284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1869
DJ Shadow,Logged In,Caleb,M,7,Caldwell,389.38077,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1490476733284,5018,Giving Up The Ghost,200,1513783790284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1595
Smokey Robinson & The Miracles,Logged In,Kain,M,6,Price,168.9073,paid,"Birmingham-Hoover, AL",PUT,NextSong,1511131936284,6380,I Second That Emotion,200,1513783797284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",2612
Amy Winehouse,Logged In,Julia,F,3,Fernandez,202.73587,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1504364463284,977,You Know I'm No Good,200,1513783798284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",978
Poison The Well,Logged In,Tyanna,F,50,Jones,180.89751,paid,"Cedartown, GA",PUT,NextSong,1487337122284,2293,Pieces Of You In Me,200,1513783804284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2294
Pixies,Logged In,Lea,F,2,Sheppard,89.83465,free,"Anchorage, AK",PUT,NextSong,1495663771284,2139,Broken Face,200,1513783806284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2140
The Wreckers,Logged In,Evelin,F,19,Benjamin,210.99057,paid,"Key West, FL",PUT,NextSong,1512655967284,236,Leave The Pieces (Album Version),200,1513783811284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",237
Cypress Hill,Logged In,Ethan,M,3,Fischer,164.85832,free,"Hilton Head Island-Bluffton-Beaufort, SC",PUT,NextSong,1507557632284,5214,Break 'Em Off Some,200,1513783814284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",254
Mara Carlyle,Logged In,Jocelyn,F,3,King,145.00526,paid,"Riverside-San Bernardino-Ontario, CA",PUT,NextSong,1511157640284,2001,Pianni,200,1513783823284,Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,2002
Foo Fighters,Logged In,Jeffrey,M,30,Kramer,200.61995,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1513436777284,6082,Cold Day In The Sun,200,1513783827284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4\"",761
Mutemath,Logged In,Anthony,M,2,Booker,284.29016,free,"Weirton-Steubenville, WV-OH",PUT,NextSong,1513615785284,1269,Clockwork,200,1513783829284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1270
Ismo Alanko,Logged In,Michael,M,0,Hill,293.69424,paid,"Huntsville, AL",PUT,NextSong,1507609419284,3266,Don Quiote,200,1513783848284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",957
"",Logged In,Michael,M,1,Hill,"",paid,"Huntsville, AL",GET,Settings,1507609419284,3266,"",200,1513783850284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",957
Kelly Clarkson,Logged In,Calvin,M,4,Wright,211.56526,free,"Jackson, MS",PUT,NextSong,1503455052284,5699,My Life Would Suck Without You,200,1513783866284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2361
"",Logged In,Anderson,M,0,Diaz,"",paid,"Lafayette, LA",GET,Home,1502952565284,1489,"",200,1513783880284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1490
India.Arie / MC Lyte,Logged In,Mason,M,38,Thomas,315.50649,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5909,Psalms 23,200,1513783883284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Deepest Blue,Logged In,Kaden,M,7,Gutierrez,210.54649,free,"Charleston-North Charleston, SC",PUT,NextSong,1508466348284,6404,Deepest Blue,200,1513783885284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1959
Colossal,Logged In,Malyha,F,0,Nolan,206.99383,free,"New Haven-Milford, CT",PUT,NextSong,1504206839284,4752,Brave The Elements,200,1513783889284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1468
BjÃÂ¶rk,Logged In,Carlisle,F,25,Long,348.57751,paid,"Trenton, NJ",PUT,NextSong,1504984277284,6198,Undo,200,1513783894284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2481
"",Logged In,Daegan,M,32,Roberts,"",paid,"McAllen-Edinburg-Mission, TX",GET,Downgrade,1513291220284,2159,"",200,1513783904284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,2160
Belle & Sebastian,Logged In,Matthew,M,4,Campbell,260.85832,paid,"Des Moines-West Des Moines, IA",PUT,NextSong,1511351741284,2631,Act Of The Apostle II,200,1513783907284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2632
Charley Pride,Logged In,Enrique,M,76,Miller,133.19791,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1500182660284,5962,Is Anybody Goin' To San Antone,200,1513783911284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",58
Girl Talk,Logged In,Anderson,M,1,Diaz,113.84118,paid,"Lafayette, LA",PUT,NextSong,1502952565284,1489,Hand Clap,200,1513783911284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1490
Andrew Lloyd Webber,Logged In,Kade,M,37,Jones,212.1922,paid,"Key West, FL",PUT,NextSong,1508056774284,597,Beautiful,200,1513783912284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,598
"",Logged In,Michael,M,2,Hill,"",paid,"Huntsville, AL",GET,Home,1507609419284,3266,"",200,1513783918284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",957
Yo-Yo Ma;Edgar Meyer;Mark O'Connor,Logged In,Courtney,F,0,Miller,343.7971,free,"Louisville/Jefferson County, KY-IN",PUT,NextSong,1500804626284,4039,Mama,200,1513783923284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,654
Hootie And The Blowfish,Logged In,Colin,M,9,Simpson,216.81587,paid,"North Port-Sarasota-Bradenton, FL",PUT,NextSong,1487717495284,4690,Honeyscrew (LP Version),200,1513783934284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",621
